,code,name,lasttrade
1,MMM,3M,174.0
2,AXP,American Express,119.69
3,AAPL,Apple,256.47
4,BA,Boeing,352.14
5,CAT,Caterpillar,145.49
6,CVX,Chevron,119.9
7,CSCO,Cisco,48.27
8,KO,Coca-Cola,52.8
9,DIS,Disney,131.27
10,DOW,Dow Chemical,54.28
11,XOM,Exxon Mobil,71.49
12,GS,Goldman Sachs,218.42
13,HD,Home Depot,234.01
14,IBM,IBM,137.16
15,INTC,Intel,57.6
16,JNJ,Johnson & Johnson,130.96
17,JPM,JPMorgan Chase,129.3
18,MCD,McDonald's,194.18
19,MRK,Merck,83.25
20,MSFT,Microsoft,144.06
21,NKE,Nike,89.48
22,PFE,Pfizer,37.25
23,PG,Procter & Gamble,120.32
24,TRV,Travelers Companies Inc,132.35
25,UTX,United Technologies,148.31
26,UNH,UnitedHealth,250.52
27,VZ,Verizon,60.13
28,V,Visa,176.77
29,WMT,Wal-Mart,119.5
30,WBA,Walgreen,59.49
